ARGENTINA,BARBADOS,BOLIVIA,BRASIL,BELICE,CHILE,COLOMBIA,COSTA RICA,REPÚBLICA DOMINICANA,ECUADOR,GUATEMALA,HONDURAS,JAMAICA,MÉXICO,NICARAGUA,PANAMÁ,PERÚ,PUERTO RICO,PARAGUAY,SURINAME,EL SALVADOR,TRINIDAD Y TOBAGO,URUGUAY,VENEZUELA
www.eleconomista.com.ar,0,eldeber.com.bo,www.agora.com.br,wicnews.com,www.pulso.cl,www.semana.com,diarioextra.com,www.acento.com.do,www.eluniverso.com,www.guatemala.com,www.elsoldehonduras.com,0,www.unomasuno.com.mx,www.nicaraguaactual.tv,ensegundos.com.pa,www.exitosanoticias.pe,primerahora.com,abc.com.py,0,www.ultimahora.sv,0,elpais.com.uy,www.elpitazo.net
clarin.com,0,www.lostiempos.com,www.gazetasp.com.br,edition.channel5belize.com,www.elmostrador.cl,www.pulzo.com,larepublica.net,www.primicias.com.do,www.primicias.ec,www.newsinamerica.com,www.libertaddigital.news,0,www.cronica.com.mx,laprensa.com.ni,eldigitalpanama.com,www.trome.pe,elvocero.com,cronica.com.py,0,www.verdaddigital.com,0,elobservador.com.uy,www.noticierodigital.com
lanacion.com.ar,0,www.brujuladigital.net,www.metrojornal.com.br,amandala.com.bz,www.adnradio.cl,eltiempo.com,lateja.cr,www.almomento.net,lahora.com.ec,www.ojoconmipisto.com,www.criterio.hn,0,www.razon.com.mx,elnuevodiario.com.ni,lagacetadepanama.com,www.ojo.pe,metro.pr,hoy.com.py,0,www.diariolahuella.com,0,republica.com.uy,elestimulo.com
pagina12.com.ar,0,www.boliviaentusmanos.com,www.valor.com.br,lovefm.com,www.t13.cl,publimetro.co,elmundo.cr,www.santodomingoadiario.com,elcomercio.com,www.perspectiva.gt,www.elmundo.hn,0,www.impacto.mx,trincheraonline.com,0,www.elpopular.pe,noticel.com,hoy.com.py,0,www.elindependiente.sv,0,ladiaria.com.uy,0
tiempoar.com.ar,0,www.oxigeno.bo,www.r7.com,0,www.biobiochile.cl,elespectador.com,elpais.cr,www.diariodigital.com.do,ultimasnoticias.ec,www.elmetropolitano.com.gt,www.paradigma.hn,0,www.elsoldemexico.com.mx,bolsadenoticias.com.ni,0,www.extra.com.pe,periodicolaperla.com,paraguay.com,0,www.elurbano.news,0,montevideo.com.uy,0
diariopopular.com.ar,0,0,www.supernoticia.com.br,0,www.24horas.cl,elnuevosiglo.com.co,crhoy.com,www.diariodom.com,metroecuador.com.ec,prensalibre.com,www.quienopina.com,0,www.diariodemexico.com,100noticias.com.ni,0,www.elchino.pe,elexpresso.com,lanacion.com.py,0,elsalvador.com,0,lr21.com.uy,0
cronica.com.ar,0,0,www.em.com.br,0,www.cooperativa.cl,qhubo.com,teletica.com,www.eldinero.com.do,primicias.ec,lahora.gt,www.dinero.hn,0,www.contrareplica.mx,confidencial.com.ni,0,www.elmen.pe,telemundopr.com,npy.com.py,0,laprensagrafica.com,0,eldiario.com.uy,0
laprensa.com.ar,0,0,www.otempo.com.br,0,www.eldinamo.cl,diarioadn.co,elfinancierocr.com,www.diariohispaniola.com,cerolatitud.ec,elperiodico.com.gt,latribuna.hn,0,www.diariobasta.com,el19digital.com,0,www.diarionuevosol.com,primerahora.com,5dias.com.py,0,elmundo.sv,0,subrayado.com.uy,0
ambito.com,0,0,www.zerohora.com.br,0,www.duplos.cl,larepublica.co,amprensa.com,www.diariodominicano.com,ecuavisa.com,dca.gob.gt,elheraldo.hn,0,www.periodicoeldia.mx,articulo66.com,0,www.diariouno.pe,0,www.elredactor.com.py,0,diariocolatino.com,0,180.com.uy,0
cronista.com,0,0,www.correiodopovo.com.br,0,www.radiosago.cl,portafolio.co,ncrnoticias.com,www.noticiasdominicanas.com,expreso.ec,nuestrodiario.com,diez.hn,0,www.reporteindigo.com,nicaraguainvestiga.com,0,www.lanacionperu.com,0,independiente.com.py,0,elgrafico.com,0,ovaciondigital.com.uy,0
baenegocios.com,0,0,www.diariogaucho.com.br,0,latercera.com,lafm.com.co,elperiodicocr.com,www.lasultimasnoticias.net,vistazo.com,aldia.com.gt,diariomas.hn,0,www.elnovedades.com,ipnicaragua.com,0,www.publimetro.pe,0,www.elpoder.com.py,0,lapagina.com.sv,0,0,0
eleconomista.com.ar,0,0,www.alo.com.br,0,emol.com,elcolombiano.com,delfino.cr,www.remolacha.net,eltelegrafo.com.ec,publinews.gt,proceso.hn,0,www.miled.com,nicaraguaactual.tv,0,www.gestion.pe,0,diariolajornada.com.py,0,elsalvadortimes.com,0,0,0
0,0,0,www.atarde.com.br,0,lun.com,semana.com,elguardian.cr,www.elperiodico.com.do,eluniverso.com,soy502.com,hondudiario.com,0,www.pasala.com.mx,www.vostv.com.ni,0,www.perushimpo.com,0,0,0,elfaro.net,0,0,0
0,0,0,www.gazetadopovo.com.br,0,lacuarta.com,pulzo.com,0,listin.com.do,primicias.ec,nomada.gt,tiempo.hn,0,www.thenews.mx,0,0,www.lapatria.pe,0,0,0,contrapunto.com.sv,0,0,0
0,0,0,www.dezminutos.online,0,lasegunda.com,0,0,elnacional.com.do,0,republica.gt,ellibertador.hn,0,www.maspormas.com.mx,0,0,www.cronicaviva.com.pe,0,0,0,solonoticias.com,0,0,0
0,0,0,www.tribunaonline.com.br,0,publimetro.cl,0,0,hoy.com.do,0,guatemala.com,confidencialhn.com,0,www.24-horas.mx,0,0,www.peruinforma.com,0,0,0,ultimahora.sv,0,0,0
0,0,0,oglobo.globo.com,0,lahora.cl,0,0,elcaribe.com.do,0,newsinamerica.com,enaltavoz.com,0,www.record.com.mx,0,0,www.dsn.pe,0,0,0,verdaddigital.com,0,0,0
0,0,0,extra.globo.com,0,hoyxhoy.cl,0,0,diariolibre.com,0,ojoconmipisto.com,elsoldehonduras.com,0,www.esto.com.mx,0,0,www.andina.pe,0,0,0,diariolahuella.com,0,0,0
0,0,0,meiahora.com,0,elgraficochile.cl,0,0,eldia.com.do,0,perspectiva.gt,libertaddigital.news,0,www.elfinanciero.com.mx,0,0,www.laprensa.pe,0,0,0,elindependiente.sv,0,0,0
0,0,0,odia.com.br,0,df.cl,0,0,elnuevodiario.com.do,0,elmetropolitano.com.gt,criterio.hn,0,www.eleconomista.com.mx,0,0,larepublica.pe,0,0,0,elurbano.news,0,0,0
0,0,0,lancenet.com.br,0,pulso.cl,0,0,metrord.do,0,0,elmundo.hn,0,milenio.com,0,0,elcomercio.pe,0,0,0,0,0,0,0
0,0,0,correiodobrasil.com.br,0,elmostrador.cl,0,0,ciudadoriental.com,0,0,paradigma.hn,0,excelsior.com.mx,0,0,diariocorreo.pe,0,0,0,0,0,0,0
0,0,0,jornalpovo.com.br,0,adnradio.cl,0,0,ultimasnoticias.com.do,0,0,quienopina.com,0,eluniversal.com.mx,0,0,peru21.pe,0,0,0,0,0,0,0
0,0,0,jb.com.br,0,t13.cl,0,0,acento.com.do,0,0,dinero.hn,0,heraldodemexico.com.mx,0,0,larazon.pe,0,0,0,0,0,0,0
0,0,0,folha.uol.com.br,0,biobiochile.cl,0,0,primicias.com.do,0,0,0,0,reforma.com,0,0,laprimera.pe,0,0,0,0,0,0,0
0,0,0,estadao.com.br,0,24horas.cl,0,0,almomento.net,0,0,0,0,publimetro.com.mx,0,0,expreso.com.pe,0,0,0,0,0,0,0
0,0,0,agora.com.br,0,cooperativa.cl,0,0,santodomingoadiario.com,0,0,0,0,la-prensa.com.mx,0,0,elperuano.pe,0,0,0,0,0,0,0
0,0,0,gazetasp.com.br,0,eldinamo.cl,0,0,diariodigital.com.do,0,0,0,0,elgrafico.mx,0,0,delpais.com.pe,0,0,0,0,0,0,0
0,0,0,metrojornal.com.br,0,duplos.cl,0,0,diariodom.com,0,0,0,0,capitalmexico.com.mx,0,0,elperfil.pe,0,0,0,0,0,0,0
0,0,0,valor.com.br,0,radiosago.cl,0,0,eldinero.com.do,0,0,0,0,jornada.unam.mx,0,0,exitosanoticias.pe,0,0,0,0,0,0,0
0,0,0,r7.com,0,0,0,0,diariohispaniola.com,0,0,0,0,unomasuno.com.mx,0,0,trome.pe,0,0,0,0,0,0,0
0,0,0,supernoticia.com.br,0,0,0,0,diariodominicano.com,0,0,0,0,cronica.com.mx,0,0,ojo.pe,0,0,0,0,0,0,0
0,0,0,em.com.br,0,0,0,0,noticiasdominicanas.com,0,0,0,0,razon.com.mx,0,0,elpopular.pe,0,0,0,0,0,0,0
0,0,0,otempo.com.br,0,0,0,0,lasultimasnoticias.net,0,0,0,0,impacto.mx,0,0,extra.com.pe,0,0,0,0,0,0,0
0,0,0,zerohora.com.br,0,0,0,0,remolacha.net,0,0,0,0,elsoldemexico.com.mx,0,0,elchino.pe,0,0,0,0,0,0,0
0,0,0,correiodopovo.com.br,0,0,0,0,elperiodico.com.do,0,0,0,0,diariodemexico.com,0,0,elmen.pe,0,0,0,0,0,0,0
0,0,0,diariogaucho.com.br,0,0,0,0,listindiario.com,0,0,0,0,contrareplica.mx,0,0,diarionuevosol.com,0,0,0,0,0,0,0
0,0,0,alo.com.br,0,0,0,0,0,0,0,0,0,diariobasta.com,0,0,diariouno.pe,0,0,0,0,0,0,0
0,0,0,atarde.com.br,0,0,0,0,0,0,0,0,0,periodicoeldia.mx,0,0,lanacionperu.com,0,0,0,0,0,0,0
0,0,0,gazetadopovo.com.br,0,0,0,0,0,0,0,0,0,reporteindigo.com,0,0,publimetro.pe,0,0,0,0,0,0,0
0,0,0,dezminutos.online,0,0,0,0,0,0,0,0,0,elnovedades.com,0,0,gestion.pe,0,0,0,0,0,0,0
0,0,0,tribunaonline.com.br,0,0,0,0,0,0,0,0,0,miled.com,0,0,perushimpo.com,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,pasala.com.mx,0,0,lapatria.pe,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,thenews.mx,0,0,cronicaviva.com.pe,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,maspormas.com.mx,0,0,peruinforma.com,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,24-horas.mx,0,0,dsn.pe,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,record.com.mx,0,0,andina.pe,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,esto.com.mx,0,0,laprensa.pe,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,elfinanciero.com.mx,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,eleconomista.com.mx,0,0,0,0,0,0,0,0,0,0
